Name,Freeze Debt
Start Date,3/1/19
End Date,4/1/25

Date,Active Devices
2/1/19,7.0
3/1/19,18.0
4/1/19,9.0
5/1/19,195.0
6/1/19,577.0
7/1/19,909.0
8/1/19,794.0
9/1/19,1211.0
10/1/19,1208.0
11/1/19,1683.0
12/1/19,1546.0
1/1/20,2304.0
2/1/20,1943.0
3/1/20,2384.0
4/1/20,1431.0
5/1/20,915.0
6/1/20,1332.0
7/1/20,1443.0
8/1/20,1037.0
9/1/20,1029.0
10/1/20,1279.0
11/1/20,1194.0
12/1/20,1320.0
1/1/21,1694.0
2/1/21,1975.0
3/1/21,2057.0
4/1/21,2086.0
5/1/21,2007.0
6/1/21,2098.0
7/1/21,3056.0
8/1/21,2721.0
9/1/21,2703.0
10/1/21,2640.0
11/1/21,2607.0
12/1/21,2139.0
1/1/22,2559.0
2/1/22,2660.0
3/1/22,2454.0
4/1/22,2579.0
5/1/22,2546.0
6/1/22,2124.0
7/1/22,2241.0
8/1/22,2168.0
9/1/22,1753.0
10/1/22,1674.0
11/1/22,1532.0
12/1/22,1735.0
1/1/23,1751.0
2/1/23,1305.0
3/1/23,1124.0
4/1/23,1042.0
5/1/23,1179.0
6/1/23,993.0
7/1/23,1112.0
8/1/23,1062.0
9/1/23,862.0
10/1/23,840.0
11/1/23,925.0
12/1/23,1114.0
1/1/24,1360.0
2/1/24,805.0
3/1/24,873.0
4/1/24,693.0
5/1/24,411.0
6/1/24,540.0
7/1/24,635.0
8/1/24,705.0
9/1/24,627.0
10/1/24,742.0
11/1/24,638.0
12/1/24,321.0
1/1/25,996.0
2/1/25,811.0
3/1/25,349.0
4/1/25,97.0
